time,M,FC,FN,vs
2381.794892226782,0.5540533873169309,6.046762951188383,5.763346149121794,2.2761992451731126
2381.8948962110044,0.5280247990754555,5.980576138332246,5.719540333804443,2.406496845299987
2381.994900195227,0.5026293137702993,5.913811256145992,5.675059275830909,2.5287355539462855
2382.0949041794493,0.47788263069924525,5.846489569119367,5.629914764554104,2.6416939050970463
2382.1949081636717,0.4537998632464931,5.77863278862086,5.58411894580739,2.7442431663845577
2382.294912147894,0.43039539613916883,5.71026304123817,5.537684322077855,2.835358617907005
2382.394916132117,0.4076827338469005,5.64140283151221,5.4906237509964235,2.914129791706532
2382.4949201163395,0.38567434164993714,5.572074998847446,5.44295044196638,2.979769569587047
2382.594924100562,0.3643814813983303,5.502302668462572,5.39467795074921,3.0316220483673804
2382.6949280847844,0.34381404451169406,5.432109196365234,5.3458201718407805,3.069169093969358
2382.794932069007,0.32398038529013196,5.3615181084534695,5.296391328475348,3.0920355188548196
2382.8949360532292,0.3048871581061293,5.290553034002512,5.246405960117464,3.0999928310739513
2382.9949400374517,0.28653916248161454,5.219237633959892,5.195878907325028,3.092961517463095
2383.094944021674,0.2689392003899428,5.147595524650964,5.144825293898642,3.071011838177247
2383.1949480058965,0.25208795031956216,5.075650197682503,5.093260506271147,3.034363124617924
2383.294951990119,0.23598386265836122,5.003424937016364,5.041200170136588,2.9833815877718126
2383.3949559743414,0.22062308077531376,4.930942734359687,4.988660124369524,2.9185766588603133
2383.4949599585643,0.20599939176975285,4.858226204172553,4.935656392341817,2.8405958988655144
2383.5949639427868,0.19210421022435312,4.785297499721701,4.882205150805891,2.7502185278012408
2383.694967927009,0.17892659744608755,4.712178231688341,4.828322696570163,2.648347638382222
2383.7949719112316,0.16645331764716464,4.638889390889484,4.774025411261994,2.5360011719031363
2383.894975895454,0.15466893134654813,4.565451276648111,4.7193297245234485,2.414301746495545
2383.9949798796765,0.14355592503532089,4.491883432286808,4.664252076043248,2.284465439405533
2384.094983863899,0.1330948749151169,4.41820458909542,4.608808876871826,2.1477896353844175
2384.1949878481214,0.12326464136879794,4.344432619951967,4.553016470502198,2.005640062617057
2384.294991832344,0.1140425898300073,4.270584503562241,4.49689109422338,1.8594371457308005
2384.3949958165663,0.10540483294597801,4.196676300038502,4.4404488412645104,1.7106418122521423
2384.4949998007887,0.09732648842123988,4.122723138273969,4.383705624246179,1.5607408943395829
2384.595003785011,0.08978194671239619,4.048739215301523,4.326677140441052,1.4112322716653565
2384.695007769234,0.08274514281674313,3.9747378075654596,4.269378839319003,1.2636099039046034
2384.7950117534565,0.07618982673962432,3.9007312938001664,4.2118258928168055,1.1193489023983092
2384.895015737679,0.07008982779699126,3.8267311889978055,4.154033168721253,0.9798907901508708
2384.9950197219014,0.06441930866153275,3.752748188794776,4.0960152075117975,0.8466290974646538
2385.095023706124,0.05915300593033612,3.6787922234767914,4.037786202943803,0.7208954371365771
2385.1950276903463,0.05426645492404529,3.604872520739232,3.9793599866019513,0.6039461983638766
2385.2950316745687,0.04973619736433939,3.530997676314288,3.9207500165954543,0.4969499923190542
2385.395035658791,0.0455399714731614,3.457175731598454,3.8619693705142333,0.40097597484366576
2385.4950396430136,0.041656884857957925,3.3834142574756103,3.8030307427176213,0.31698316294601875
2385.595043627236,0.03806757126914547,3.30972044362684,3.743946445986124,0.24581085185730506
2385.6950476114584,0.03475433292778629,3.2361011927423187,3.6847284175335364,0.18817022840339812
2385.7950515956813,0.031701270622319304,3.1625632191966204,3.6253882293517594,0.14463726449523798
2385.895055579904,0.02889440417133704,3.0891131519143826,3.5659371028467732,0.11564696175040973
2385.995059564126,0.02632178615909627,3.015757641321794,3.5063859277120155,0.10148900475352818
2386.0950635483487,0.02397361209222882,2.9425034704757107,3.446745284997417,0.10230486639402799
2386.195067532571,0.021842330320405532,2.8693576706420516,3.3870254743344024,0.11808639420304044
2386.2950715167935,0.019922755235712755,2.796327641799898,3.3272365453032333,0.1486758918166533
2386.395075501016,0.018212187437668847,2.723421278749878,3.2673883329559907,0.1937676947513042
2386.4950794852384,0.016710544746688295,2.650647103718656,3.2074904975461656,0.2529112247454265
2386.595083469461,0.015420508190253005,2.578014406575634,3.1475525685615473,0.3255154921469487
2386.6950874536833,0.014347687393767655,2.5055333940174718,3.0875839932114544,0.4108550013566932
2386.7950914379057,0.01350081020124436,2.433215349335571,3.027594189582597,0.5080770003177426
2386.895095422128,0.012891941847023667,2.3610728046668337,2.967592604750655,0.6162100016105022
2386.995099406351,0.012536739613908724,2.289119727944635,2.9075887782175,0.7341734900072725
2387.0951033905735,0.012454749657427377,2.2173717271245468,2.8475924111404995,0.8607887194806332
2387.195107374796,0.012669753557606966,2.1458462746526235,2.7876134419220038,0.9947904917850547
2387.2951113590184,0.01321017317835199,2.074562955606709,2.7276621288584355,1.1348397989039527
2387.395115343241,0.014109543557588115,2.003543743436447,2.667749140676825,1.2795372030409142
2387.4951193274633,0.015407064787682051,1.9328133077991816,2.607885655948246,1.4274368204528631
2387.5951233116857,0.017148245114839117,1.8623993596065813,2.5480834725413217,1.5770607693927259
2387.695127295908,0.019385648684265348,1.7923330390628327,2.4883551284759036,1.7269139377910272
2387.7951312801306,0.02217976231589856,1.7226493531653273,2.428714035755231,1.875498923110881
2387.895135264353,0.025599996149923362,1.6533876698140095,2.3691746289937363,2.0213309950903975
2387.9951392485755,0.02972583255324721,1.5845922762700524,2.3097525309137183,2.162952931857824
2388.095143232798,0.03464813573922772,1.5163130101125408,2.250464737050067,2.298949581170063
2388.195147217021,0.04047063027547955,1.4486059709000632,2.1913298222644673,2.427962001272465
2388.2951512012432,0.04731154884589026,1.3815343202101336,2.132368171909062,2.54870104007441
2388.3951551854657,0.05530543666056939,1.315169176232757,2.0736022406491736,2.659960216959938
2388.495159169688,0.0646050796000976,1.2495906061454032,2.0150568420232227,2.7606277785006696
2388.5951631539106,0.07538349277259873,1.1848887143342033,1.9567594716703376,2.849697807613609
2388.695167138133,0.08783586229985453,1.1211648162043166,1.8987406667083329,2.926280275152359
2388.7951711223554,0.10218127209094911,1.0585326745157095,1.8410344028078058,2.989609933492201
2388.895175106578,0.11866396546989691,0.9971197562589714,1.7836785288638137,3.03905396324018
2388.9951790908003,0.13755378626270273,0.9370684411010953,1.7267152365101646,3.0741182966607257
2389.0951830750228,0.1591453156214985,0.8785370753061843,1.6701915576698034,3.0944525546301986
2389.195187059245,0.18375507530739954,0.821700715980072,1.6141598774308104,3.099853547788009
2389.295191043468,0.2117160205099033,0.766751348826987,1.5586784412863508,3.0902673068991096
2389.3951950276905,0.24336842456157984,0.7138972902363828,1.503811824737835,3.065789622139929
